iter	Passed	Remaining
0	472	377900
1	786	313755
2	1092	290267
3	1385	275677
4	1697	269888
5	2047	270909
6	2408	272848
7	2743	271604
8	3069	269748
9	3382	267200
10	3701	265522
11	4018	263864
12	4359	263947
13	4682	262882
14	5015	262495
15	5335	261423
16	5640	259799
17	5954	258674
18	6323	259934
19	6719	262050
20	7093	263136
21	7455	263665
22	7836	264735
23	8190	264841
24	8533	264528
25	8852	263541
26	9198	263339
27	9543	263120
28	9863	262234
29	10171	261058
30	10483	260053
31	10803	259284
32	11113	258310
33	11462	258236
34	11861	259257
35	12216	259269
36	12594	259719
37	12931	259305
38	13245	258456
39	13574	257907
40	13919	257674
41	14259	257343
42	14600	257040
43	14968	257183
44	15302	256736
45	15650	256526
46	15969	255856
47	16277	255018
48	16615	254657
49	16921	253822
50	17237	253155
51	17587	252990
52	17910	252429
53	18270	252409
54	18597	251907
55	18915	251310
56	19255	251001
57	19572	250389
58	19912	250089
59	20231	249518
60	20557	249052
61	20867	248392
62	21184	247825
63	21501	247269
64	21834	246900
65	22172	246587
66	22567	246891
67	22948	247037
68	23328	247151
69	23711	247278
70	24079	247239
71	24448	247197
72	24827	247255
73	25159	246836
74	25480	246308
75	25800	245780
76	26128	245335
77	26470	245025
78	26813	244711
79	27172	244548
80	27531	244386
81	27859	243938
82	28178	243422
83	28536	243237
84	28851	242694
85	29197	242407
86	29517	241910
87	29835	241392
88	30187	241157
89	30494	240569
90	30833	240231
91	31152	239736
92	31468	239228
93	31819	238987
94	32150	238587
95	32503	238358
96	32814	237823
97	33134	237353
98	33444	236814
99	33769	236385
100	34092	235945
101	34455	235786
102	34790	235429
103	35119	235029
104	35425	234481
105	35741	234008
106	36048	233471
107	36387	233150
108	36701	232668
109	37021	232226
110	37374	231992
111	37698	231575
112	38036	231245
113	38402	231090
114	38764	230898
115	39185	231057
116	39598	231162
117	39964	230979
118	40298	230616
119	40625	230212
120	40963	229870
121	41275	229382
122	41622	229093
123	41955	228723
124	42328	228576
125	42630	228040
126	42929	227495
127	43267	227153
128	43595	226765
129	43901	226262
130	44214	225798
131	44545	225428
132	44863	224990
133	45206	224684
134	45553	224393
135	45879	223998
136	46223	223695
137	46575	223425
138	46879	222931
139	47180	222424
140	47487	221946
141	47832	221644
142	48178	221349
143	48517	221023
144	48876	220787
145	49200	220389
146	49558	220145
147	49893	219801
148	50207	219362
149	50509	218874
150	50857	218587
151	51215	218340
152	51577	218108
153	51948	217914
154	52293	217606
155	52607	217175
156	52928	216771
157	53237	216320
158	53564	215942
159	53951	215804
160	54329	215631
161	54710	215464
162	55137	215474
163	55489	215191
164	55848	214933
165	56198	214639
166	56525	214254
167	56875	213961
168	57238	213711
169	57563	213323
170	57862	212838
171	58209	212533
172	58551	212208
173	58847	211716
174	59184	211373
175	59517	211018
176	59818	210548
177	60162	210231
178	60507	209917
179	60830	209527
180	61126	209045
181	61521	208902
182	61917	208759
183	62268	208463
184	62575	208020
185	62909	207668
186	63224	207253
187	63532	206818
188	63842	206390
189	64165	206005
190	64480	205594
191	64802	205206
192	65117	204799
193	65450	204449
194	65845	204288
195	66143	203831
196	66459	203427
197	66796	203089
198	67133	202749
199	67476	202428
200	67809	202079
201	68110	201635
202	68447	201295
203	68744	200842
204	69097	200551
205	69488	200369
206	69846	200090
207	70228	199881
208	70615	199682
209	70988	199445
210	71377	199249
211	71790	199115
212	72191	198950
213	72502	198534
214	72866	198265
215	73172	197837
216	73472	197393
217	73810	197054
218	74143	196701
219	74463	196313
220	74779	195916
221	75129	195606
222	75447	195215
223	75797	194908
224	76150	194607
225	76461	194199
226	76802	193867
227	77144	193537
228	77485	193205
229	77809	192832
230	78127	192443
231	78425	192008
232	78723	191572
233	79073	191262
234	79435	190983
235	79762	190618
236	80049	190159
237	80357	189750
238	80653	189316
239	80997	188995
240	81342	188674
241	81627	188216
242	81946	187835
243	82266	187459
244	82609	187136
245	82942	186788
246	83229	186339
247	83592	186059
248	83939	185744
249	84297	185455
250	84590	185019
251	84895	184614
252	85209	184227
253	85536	183869
254	85856	183496
255	86202	183180
256	86545	182855
257	86903	182564
258	87276	182302
259	87618	181976
260	88025	181785
261	88403	181530
262	88746	181205
263	89053	180805
